Original_Review,Actual_Rating,Predicted_Label,Churn_Probability,Cleaned_Review
"State Bank Of India is located nearby in our area so i open my saving account from that bank ,customer service was good, I got my bank statement on time the bank agent informed me every details required. It is very easy and convenience for money deposits.",4.0,0,0.11242940446022033,state bank india located nearby area open saving account bank customer service good got bank statement time bank agent informed every detail required easy convenience money deposit
"I have my salary account in SBI, when I applied for the card I got my statement on time. I am very much satisfied with the the account. Net banking is also functioning smooth and convenient for me. There are some offer in the cards which was good.",5.0,0,0.11856834802970193,salary account sbi applied card got statement time much satisfied account net banking also functioning smooth convenient offer card good
I am using Axis bank saving account for the  past 3years .Each transaction will be safe and always secure .I am using net banking as well mobile banking service it is used for money transfer and recharge only.There was no difficulties faced so far on using this saving account.,5.0,0,0.08161018750767601,using axis bank saving account past year transaction safe always secure using net banking well mobile banking service used money transfer recharge difficulty faced far using saving account
"I have my salary bank account in HDFC bank for many years, I got my bank statement on time.This bank is available in most of the areas so its very convenience for deposits and update of passbook. I have no issues with the customer support and its been good experience.",5.0,0,0.1310852417910691,salary bank account hdfc bank many year got bank statement time bank available area convenience deposit update passbook issue customer support good experience
"Close to around 10 years, I am holding this Corporation Bank  savings account The most interesting part about this account I can easily transact and I can withdraw money from anywhere without any charges. ATM and their branches are near to my residence.",5.0,0,0.20471577278800443,close around year holding corporation bank saving account interesting part account easily transact withdraw money anywhere without charge atm branch near residence
I am not getting an alert message from IDBI bank whenever I do a transaction from their end to check the account balance details. I use to visit branch and get good response from their end. I am holding a saving account for the past 6 years and its a zero balance account.,5.0,0,0.08882055287579999,getting alert message idbi bank whenever transaction end check account balance detail use visit branch get good response end holding saving account past year zero balance account
"I am using savings account from SBI more than 4 years. If i don't keep any balance, they are deducting some amount so i am  keep on  maintaining the amount. I am doing all transactions and EMI transfer I am using this account only. Customer service was okay.",4.0,0,0.14807872210779843,using saving account sbi year keep balance deducting amount keep maintaining amount transaction emi transfer using account customer service okay
"Its been 2 years, i am using Kotak Bank savings account and its really super service, thats why still i have not contacted with the customer service . I went through online and i have mentioned my details to open this  account and its a zero balance account. They haven't charged a debit card fees,  onces i lost my debit card just 2 days i received.",5.0,0,0.09996134179456834,year using kotak bank saving account really super service thats still contacted customer service went online mentioned detail open account zero balance account charged debit card fee onces lost debit card day received
"Since 2002, I am maintain my savings account from HDFC Bank. This is salary comes saving account, no need to maintain minimum balance. I am getting offer messages for loan offer and i never spoke to customer care. For cash withdrawal, shopping and all i use to get instant message.",5.0,0,0.1532284353634549,since maintain saving account hdfc bank salary come saving account need maintain minimum balance getting offer message loan offer never spoke customer care cash withdrawal shopping use get instant message
"An executive has made to open an account with AXIS, so I have been using this account last 2 months before only. There is no ATM but it will not be charge for other ATM transaction. There is no much branches are avail in my city. So far I didn't faced any fraudulent issue.",5.0,0,0.10983621802808034,executive made open account axis using account last month atm charge atm transaction much branch avail city far faced fraudulent issue
